protocol,routing_logic,path_before_failure,path_after_R2_R3_failure,convergence_rounds_after_failure,control_messages_after_failure,loops_detected_during_convergence,unreachable_routes_after_failure,recovery_method
RIP baseline,hop count only,R1 -> R2 -> R3 -> R4,R1 -> R2 -> R6 -> R3 -> R4,3,36,0,0,wait for distance-vector reconvergence
ASHR proposed,dynamic latency/bandwidth/loss cost + backup route,R1 -> R2 -> R3 -> R4,R1 -> R2 -> R6 -> R3 -> R4,1,6,0,0,16 affected routes can use stored backup; 0 recomputed
